ID,DIVISION,SUBJECT,WRITER,VIEWS
2246905,루머,게임랜트)고스트 오브 쓰시마의 확장팩 고스트 오브 이키시마 유출 (66),틸로볼프,24
2246892,XSX소프트,유비소프트)아바타: 프론티어 오브 판도라 - 스노우드롭 테크 쇼케이스 (7),틸로볼프,8
2246901,기타,게임랜트)윈도우 11 Xbox의 자동 HDR 기능 지원 (64),틸로볼프,26
2246900,PS5소프트,PS공식)익스플로링 PS5 - 하위 호환 (30),틸로볼프,7
2246890,XSX소프트,마이크로소프트 윈도우 11 OS의 엑스박스 플랫폼 관련 기술 도입 공식 ... (45),블레이더영혼,62
2246888,PS5소프트,귀멸의 칼날 히노카미 혈풍담 스토리 & 어드벤처 트레일러 (영음 버전 ) (21),둠 닥터,8
2246887,XBO소프트,IGN)귀멸의 칼날: 히노카미 혈풍담 공식 어드벤쳐 모드 영상 (4),틸로볼프,1
2246883,XSX소프트,VG TECH)메트로 엑소더스 인헨스드 Xbox Series VS PS5... (3),틸로볼프,8
2246886,PS5소프트,VG TECH)메트로 엑소더스 인헨스드 Xbox Series VS PS5... (16),틸로볼프,3
2246902,XBO소프트,게임랜트)Xbox 주말 무료 게임 공개 (16),틸로볼프,9
2246896,기타,마블스 스파이더맨: 마일즈 모랄레스 - 마일즈 모랄레스 공식 핫토이 피규... (28),토미오카,22
2246897,XSX소프트,마블 어벤저스 켑틴 아메리카 MCU 복장 영상 (11),.501 군단,6
2246898,XSX소프트,XBOX ON)Xbox Game Pass 업데이트 영상,틸로볼프,10
2246895,제작사,"인섬니악 게임즈, 멀티플레이어 프로젝트를 위한 신규 채용 공고를 내다 (18)",nokcha,8
2246823,XBO소프트,XCloud 터치컨트롤 지원 게임 추가 (28),nokcha,31
,,,,
2246817,NS소프트,천수의 사쿠나히메 전세계 누적 실 판매량 100만장 돌파 (16),nokcha,17
2246810,PS4소프트,영웅전설 여의 궤적. 얼라인먼트 시스템 추가 정보 (38),roness,19
2237470,PS5하드,,Ruliweb100,47
2246811,PS5소프트,BLUE BOX Game Studios 신규 비디오 메세지 공개 (14),물곰탱,12
2246884,NS소프트,몬스터 헌터 스토리즈 2 체험판 등록 (19),nokcha,18
2246814,XSX소프트,커브드 스페이스 XB판도 한국어 지원 (13),nokcha,19
2246822,PS4소프트,코튼30주년 기념 완전 신작 COTTON ROCK'n'ROLL 발표 (12),후지사키시오리,8
2246809,PS5소프트,스나이퍼 고스트 워리어 컨트랙트 2 차세대 버전 업그레이드 정보 (8),자세안나오네,5
2246813,XSX소프트,"귀멸의 칼날 한국어판 10월 14일 발매, 4K 60프레임 지원 (25)",명상주,17
2246816,NS소프트,몬스터 헌터 라이즈 신규 유료 DLC 소개 영상 및 3.1 업데이트 배포... (22),nokcha,13
2246808,PS4소프트,전국무쌍5 카운트다운 일러스트 D-Day (5),실명†확인,5
2246819,PS5소프트,에일리언즈: 파이어팀 엘리트 커버 아트 (22),자세안나오네,15
2246812,PS4소프트,"전국무쌍5 모든 무장 무쌍오의, 오의 개전 영상 (21)",실명†확인,6
2246815,정보,"넷플릭스 바이오하자드 무한의 어둠 클레어, 선 메이 새로운 스틸 컷 (22)",nokcha,23
2246807,인터뷰,"필 스펜서 ""헤일로 인피니트 출시일. 여름 지나서 결정"" (32)",중고플스,31
2246818,PS4소프트,천수의 사쿠나히메 전세계 누적 실 판매량 100만장 돌파! (24),nokcha,29
2246800,XSX소프트,게임스팟)다잉라이트 2: 스테이 휴먼 - 게임플레이 슈퍼컷 영상 (10),틸로볼프,7
2246794,PS4소프트,"영웅전설 여의 궤적 일러스트, 스크린샷, 콘도 사장 코멘트 (34)",키쿠치요,22
2246796,XSX소프트,헤일로: 마스터 치프 컬렉션 시즌 7 트레일러 및 무료 업데이트 오늘 배... (2),nokcha,15
2246804,PS4소프트,신 멋진 이 세계 체험판 배포 예정 (13),키쿠치요,3
2246803,PS4소프트,더 게이머)PS 프라이드 2021 테마 코드 제공. (16),틸로볼프,4
2246799,PS5하드,PS공식)익스플로링 PS5 - 게임 헬프 (5),틸로볼프,3
2246806,XSX소프트,더 게이머)스토커 2에는 차량이 등장하지 않을 것 (7),틸로볼프,17
2246820,PS4소프트,"더 킹 오브 파이터즈 XV 바네사 트레일러, 스크린샷 (104)",이토 시즈카,13
2246805,PS5소프트,"PS5용 피파22 베타, 취소 (24)",베르세리아2,10
2246802,XBO소프트,ID@XBOX)오크 머스트 다이 3 - 발표 트레일러 (4),틸로볼프,4
2246801,XBO소프트,유비소프트)브라울할라 닌자거북이 크로스오버 게임플레이 영상,틸로볼프,3
2247087,루머,스크린랜트)톰 핸더슨에 따르면 GTA 6 2025년 출시 예정 (23),틸로볼프,3
2246798,XSX하드,엑스박스 공식)더 콜렉터즈 - Lamarr Wilson (1),틸로볼프,7
2246797,NS소프트,소닉 30주년 심포니 방송 (12),왜검색함,7
2247062,PS5소프트,VG TECH)암네시아 리버스 PS5 프레임 테스트 영상 (6),틸로볼프,7
2237470,PS5하드,,Ruliweb100,47
2247074,PS5하드,PS 공식 - PS5 탐색: 영상 & 이미지의 제작 & 공유 (5),토미오카,2
2247090,제작사,블리자드 및 월트 디즈니 컴퍼니 출신 디자이너(매니저)가 디 이니셔티브에... (2),블레이더영혼,5
2247091,PS5소프트,"귀멸의 칼날 히노카미 혈풍담 한국어판 코쵸우 시노부, 렌고쿠 쿄쥬로 영상 (3)",nokcha,1
2247075,NS소프트,"일본닌텐도, 전장의 발큐리아 1 닌텐도 스위치 온라인 게임 트라이얼 실시 (25)",nokcha,3
2247073,기타,오늘 폴아웃4의 도그밋으로 알려진 '리버'가 세상을 떠났습니다 (7),겜스샷전문가🎮,43
2247092,PS5소프트,"H2 인터렉티브, PS5판 메트로 엑소더스 추가 확장팩 DLC 제공 안내 (1)",nokcha,3
,,,,
2247089,XBO소프트,CDPR : 사이버펑크 2077의 안정성은 만족스러운 수준에 도달했다 (59),nokcha,8
2247080,PS4소프트,뮤지쿠스! PS4/닌텐도 스위치 이식 결정 (펀딩 목표 금액 달성) (6),nokcha,7
2247077,NS소프트,"한국닌텐도, 이스 VIII 닌텐도 스위치 온라인 게임 트라이얼 실시 (51)",무알콜모히또,10
2247071,NS소프트,아케이드 아카이브 라이덴 7월 1일 발매 (16),nokcha,2
2247081,PS4소프트,풍우래기 4 플레이 영상 (기후역 ~ 나에기 성) (16),nokcha,9
2247088,기타,스퀘어 에닉스)파이널 판타지 7 무선 충전스탠드 영상 (21),틸로볼프,4
2247084,NS소프트,진 여신전생 V 스크린샷 (48),키쿠치요,18
2247072,사설,당신이 플레이하고싶은 비디오 게임 빌런은 누구인가? (38),볼트 드웰러,13
2247086,PS5소프트,원신 신규 캐릭터 플레이-「카에데하라 카즈하: 풍류 무사」 (14),nokcha,8
2247079,PS4소프트,더 킹 오브 파이터즈 XV 바네사 스케치 (41),이토 시즈카,13
2247068,루머,게임랜트)레거시 오브 케인: 리마스터 올해 발표된 것이라는 소문 (14),틸로볼프,2
2247076,정보,그랑블루 판타지 VERSUS - PSN용 캐릭터 아바타 배포 안내 (12),토미오카,7
2247070,기타,헤일로 TV 드라마 총괄 제작자 시즌1 완료후 하차예정 (16),DZshk,9
2247083,NS소프트,"장르적 익숙함에 IP의 힘을 더한 괴물을 만나다, '포켓몬 유나이트' (39)",순정소닉,10
2247078,PS5소프트,스칼렛 스트링스 메타크리틱 유저 평점 등록 (53),eito,15
2247065,기타,"[AC] 건담 EXVS2 크로스 부스트 추가기체 2탄 ""디제"" 참전, +... (9)",요맨와쐅,9
2247066,사설,꿀벌의 집은 FF VII REMAKE가 어떻게 바뀔지 보여주는 좋은 예 (29),who knows836,18
2247067,XSX소프트,XBOX ON)새로운 Xbox 독점작 모음 영상 (20),틸로볼프,16
2247020,루머,[루머]코지마 에피소드형 공포게임 XBOX와 계약 (47),고무장갑펭귄,47
2247004,XSX하드,x클라우드 유저들 빨라진 게임 반응 속도를 알리다 (71),play that,62
2247069,정보,영국 비디오 게임 패키지 주간 판매 순위 (~06/26) (12),물곰탱,10
2247082,NS소프트,AMNESIA World for Nintendo Switch 인트로덕션무... (1),아즈꺄,1
2247008,PS5소프트,"반다이남코 신작 스칼렛 스트링스 스샷, 리뷰 점수 모음 (런치 트레일러) (43)",Winter Love,15
2247013,사설,역대급 1년이 될 MS의 XBOX 라인업 (103),play that,55
2237470,PS5하드,,Ruliweb100,47
2247027,기타,[AC] 기동전사 건담 전장의 유대 II 2차 PV (20),echospherics,16
2247007,정보,"화석 포켓몬과 실제 화석 비교하는, 포켓몬 화석박물관 오픈 (10)",클틴이,6
2247028,정보,"바빌론즈 폴, '일단 패키지 출시, 배틀패스 도입' (14)",선인장국,4
2247006,루머,[루머]다음 달 아발란체 인수 발표? (57),고무장갑펭귄,24
2247012,XSX소프트,더 게이머)헤일로 인피니트 시즌 1이 히어로즈 오브 리치로 명명됨 (36),틸로볼프,19
,,,,
2247026,PS5소프트,DF)파이널 판타지 14 PS3 부터 PS5까지 테스트 영상 (17),틸로볼프,7
2247019,사설,마이크로소프트 부사장 게임패스 스위치 건에 대해 언급하길 거절하다. (36),lionfranky,14
2247032,PS5소프트,게임랜트)게릴라 게임즈 포비든 웨스트외 미발표 게임 작업중 (22),틸로볼프,23
2247005,NS소프트,[메타크리틱] 디스가이아6 메타 등재 (47),역습의 신지,9
2247009,NS소프트,노래의☆왕자님♪All Star for Nintendo Switch 발매일...,아즈꺄,1
2247025,정보,어세신 크리드 발할라 디랙터가 EA Motive에 합류 (8),Zephiris,2
2247018,PS4소프트,그랑블루 판타지 버서스 PV#26 시스 참전편 (84),이토 시즈카,10
2247031,XSX소프트,카트라이더:드리프트)팩토리 테마 컨셉아트 (2),CyberFrontKorea,10
2247023,루머,[루머] 소니 쇼케이스에서 '빅 서프라이즈' 공개된다 (43),루리웹-4501333961,21
2247011,XSX소프트,스칼랫 스트링스 전기종합산 리뷰평균점수 (24),.501 군단,10
2247022,PS4소프트,신 하야리가미 3 - 2차 트레일러 공개 (18),토미오카,5
2247024,루머,[루머] 소니 '아크 시스템 웍스' 인수 논의중 (98),루리웹-4501333961,38
2247017,XSX소프트,id 소프트웨어 레드폴 제작 지원 확인 (17),play that,24
2247016,루머,게임랜트)콜 오브 듀티: 뱅가드는 블랙옵스 콜드워와 유사한 형태가 될 것 (34),틸로볼프,5
